live_url,live_path,demo_path,section,slug,title,in_sitemap,in_scrape,action,note
https://zorgtech.com/catalog/product/diamant-65-f/,/catalog/product/diamant-65-f/,/catalog/product/diamant-65-f,product,diamant-65-f,Diamant 65 F,yes,yes,keep,"Путь совпадает с живым Bitrix (демо подтянуто). На Bitrix оставить как есть, meta в HTML сервера"
https://zorgtech.com/catalog/product/diamant-75-f/,/catalog/product/diamant-75-f/,/catalog/product/diamant-75-f,product,diamant-75-f,Diamant 75 F,yes,yes,keep,"Путь совпадает с живым Bitrix (демо подтянуто). На Bitrix оставить как есть, meta в HTML сервера"
https://zorgtech.com/catalog/product/diamant-86-f-grand/,/catalog/product/diamant-86-f-grand/,/catalog/product/diamant-86-f-grand,product,diamant-86-f-grand,Diamant 86 F Grand,yes,yes,keep,"Путь совпадает с живым Bitrix (демо подтянуто). На Bitrix оставить как есть, meta в HTML сервера"
https://zorgtech.com/catalog/product/interaktivnyy-kiosk-apriori-19-print/,/catalog/product/interaktivnyy-kiosk-apriori-19-print/,/catalog/product/interaktivnyy-kiosk-apriori-19-print,product,interaktivnyy-kiosk-apriori-19-print,"Apriori 19"" Print",yes,yes,keep,"Путь совпадает с живым Bitrix (демо подтянуто). На Bitrix оставить как есть, meta в HTML сервера"
https://zorgtech.com/catalog/product/mono-32-f-scan/,/catalog/product/mono-32-f-scan/,/catalog/product/mono-32-f-scan,product,mono-32-f-scan,Mono 32 F Scan,yes,yes,keep,"Путь совпадает с живым Bitrix (демо подтянуто). На Bitrix оставить как есть, meta в HTML сервера"
https://zorgtech.com/catalog/product/mono-32-f/,/catalog/product/mono-32-f/,/catalog/product/mono-32-f,product,mono-32-f,Mono 32 F,yes,yes,keep,"Путь совпадает с живым Bitrix (демо подтянуто). На Bitrix оставить как есть, meta в HTML сервера"
https://zorgtech.com/catalog/product/mono-43-f/,/catalog/product/mono-43-f/,/catalog/product/mono-43-f,product,mono-43-f,Mono 43 F,yes,yes,keep,"Путь совпадает с живым Bitrix (демо подтянуто). На Bitrix оставить как есть, meta в HTML сервера"
https://zorgtech.com/catalog/product/diamant-22-n/,/catalog/product/diamant-22-n/,/catalog/product/diamant-22-n,product,diamant-22-n,Diamant 22 N,yes,yes,keep,"Путь совпадает с живым Bitrix (демо подтянуто). На Bitrix оставить как есть, meta в HTML сервера"
https://zorgtech.com/catalog/product/diamant-32-n/,/catalog/product/diamant-32-n/,/catalog/product/diamant-32-n,product,diamant-32-n,Diamant 32 N,yes,yes,keep,"Путь совпадает с живым Bitrix (демо подтянуто). На Bitrix оставить как есть, meta в HTML сервера"
https://zorgtech.com/catalog/product/diamant-32-ne/,/catalog/product/diamant-32-ne/,/catalog/product/diamant-32-ne,product,diamant-32-ne,Diamant 32 NE,yes,yes,keep,"Путь совпадает с живым Bitrix (демо подтянуто). На Bitrix оставить как есть, meta в HTML сервера"
